"","Year","Period","State","Commodity","Data Item","Domain","Domain Category","Value"
"1",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,300"
"2",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","73,700,000"
"3",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","10,100"
"4",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","199,930,000"
"5",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","56,160,000"
"6",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, NOT SOLD - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,920,000"
"7",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,530,000"
"8",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","15,620,000"
"9",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","204,460,000"
"10",2019,"YEAR","CALIFORNIA","BLUEBERRIES","BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","71,780,000"
"11",2019,"YEAR","FLORIDA","BLUEBERRIES","BLUEBERRIES, TAME - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,100"
