"","Year","Period","State","Commodity","Data Item","Domain","Domain Category","Value"
"1",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,500"
"2",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","143,500,000"
"3",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","19,100"
"4",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","(D)"
"5",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)"
"6",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","(NA)"
"7",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","(D)"
"8",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","300"
"9",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","(D)"
"10",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","(D)"
"11",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)","(D)"
"12",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","(D)"
"13",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","900"
"14",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","(D)"
"15",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","600"
"16",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","(D)"
"17",2019,"YEAR","CALIFORNIA","RASPBERRIES","RASPBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","(D)"
